Item Code,Location,Channel,Month,SARIMA forecast,Exponential Smoothing forecast,Best Fit Model,Best Fit Forecast,First Forecast Month,Override
21150,Amazon FBA,Amazon,31-05-2024,0.73,1.84,Sarima,0.73,31-05-2024,
21150,Amazon FBA,Amazon,30-06-2024,0.97,1.84,Sarima,0.97,31-05-2024,
21150,Amazon FBA,Amazon,31-07-2024,0.97,1.84,Sarima,0.97,31-05-2024,
21150,Amazon FBA,Amazon,31-08-2024,1.06,1.84,Sarima,1.06,31-05-2024,
21150,Amazon FBA,Amazon,30-09-2024,1.06,1.84,Sarima,1.06,31-05-2024,
21150,Amazon FBA,Amazon,31-10-2024,1.06,1.84,Sarima,1.06,31-05-2024,
21150,Amazon FBA,Amazon,30-11-2024,1.09,1.84,Sarima,1.09,31-05-2024,
21150,Amazon FBA,Amazon,31-12-2024,1.12,1.84,Sarima,1.12,31-05-2024,
21150,Amazon FBA,Amazon,31-01-2025,1.09,1.84,Sarima,1.09,31-05-2024,
21150,Amazon FBA,Amazon,28-02-2025,1.15,1.84,Sarima,1.15,31-05-2024,
21150,Amazon FBA,Amazon,31-03-2025,1.21,1.84,Sarima,1.21,31-05-2024,
21150,Amazon FBA,Amazon,30-04-2025,1.21,1.84,Sarima,1.21,31-05-2024,
21150,Amazon FBA,Amazon,31-05-2025,1.22,1.84,Sarima,1.22,31-05-2024,
21150,Amazon FBA,Amazon,30-06-2025,1.21,1.84,Sarima,1.21,31-05-2024,
21150,Amazon FBA,Amazon,31-07-2025,1.21,1.84,Sarima,1.21,31-05-2024,
21150,Amazon FBA,Amazon,31-08-2025,1.21,1.84,Sarima,1.21,31-05-2024,
21150,Amazon FBA,Amazon,30-09-2025,1.21,1.84,Sarima,1.21,31-05-2024,
21150,Amazon FBA,Amazon,31-10-2025,1.21,1.84,Sarima,1.21,31-05-2024,
21150,Aramax Bangalore,Amazon,31-05-2024,6.94,7.44,Exponential Smoothing,7.44,31-05-2024,
21150,Aramax Bangalore,Amazon,30-06-2024,7.87,7.44,Exponential Smoothing,7.44,31-05-2024,
21150,Aramax Bangalore,Amazon,31-07-2024,7.87,7.44,Exponential Smoothing,7.44,31-05-2024,
